Experiment -> WED
Endowment  ->   0.00
Chance to play computer ->   0.10%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
  47     10      5          1            1             0.04       2.16
  47     11      4          1            1             0.04       2.65
  47     12      6          0            0             0.07       2.59
  48      1      3          0            0             0.07       2.49
  48      2      7          1            1             0.04       2.32
  48      3      1          0            0             0.07       2.91
  48      4     11          1            1             0.04       2.23
  48      5     10          0            1             0.00       2.34
  48      6     12          1            0             0.12       2.72
  48      7      2          1            1             0.04       2.56
  48      8      9          1            1             0.04       2.17
  48      9      8          1            1             0.04       2.32
  48     10      5          1            0             0.12       2.28
  48     11      4          1            1             0.04       2.69
  48     12      6          0            1             0.00       2.59
  49      1      3          0            0             0.07       2.56
  49      2      7          1            1             0.04       2.36
  49      3      1          0            0             0.07       2.98
  49      4     11          1            0             0.12       2.35
  49      5     10          1            1             0.04       2.38
  49      6     12          1            1             0.04       2.76
  49      7      2          1            1             0.04       2.60
  49      8      9          1            1             0.04       2.21
  49      9      8          1            1             0.04       2.36
  49     10      5          1            1             0.04       2.32
  49     11      4          0            1             0.00       2.69
  49     12      6          1            1             0.04       2.63
  50      1      3          1            1             0.04       2.60
  50      2      7          1            1             0.04       2.40
  50      3      1          1            1             0.04       3.02
  50      4     11          1            1             0.04       2.39
  50      5     10          1            1             0.04       2.42
  50      6     12          1            1             0.04       2.80
  50      7      2          1            1             0.04       2.64
  50      8      9          1            1             0.04       2.25
  50      9      8          1            1             0.04       2.40
  50     10      5          1            1             0.04       2.36
  50     11      4          1            1             0.04       2.73
  50     12      6          1            1             0.04       2.67
  51      1      8          0            1             0.00       2.60
  51      2     12          1            0             0.12       2.52
  51      3      7          1            1             0.04       3.06
  51      4     10          0            1             0.00       2.39
  51      5      9          1            1             0.04       2.46
  51      6     11          0            1             0.00       2.80
  51      7      3          1            1             0.04       2.68
  51      8      1          1            0             0.12       2.37
  51      9      5          1            1             0.04       2.44
  51     10      4          1            0             0.12       2.48
  51     11      6          1            0             0.12       2.85
  51     12      2          0            1             0.00       2.67
  52      1      8          0            0             0.07       2.67
  52      2     12          1            1             0.04       2.56
  52      3      7          0            1             0.00       3.06
  52      4     10          1            1             0.04       2.43
  52      5      9          1            1             0.04       2.50
  52      6     11          0            1             0.00       2.80
  52      7      3          1            0             0.12       2.80
  52      8      1          0            0             0.07       2.44
  52      9      5          1            1             0.04       2.48
  52     10      4          1            1             0.04       2.52
  52     11      6          1            0             0.12       2.97
  52     12      2          1            1             0.04       2.71
  53      1      8          0            0             0.07       2.74
  53      2     12          1            1             0.04       2.60
  53      3      7          0            0             0.07       3.13
  53      4     10          1            1             0.04       2.47
  53      5      9          0            1             0.00       2.50
  53      6     11          1            1             0.04       2.84
